state,name,visibility,archived,default_branch,pushed_at,primary_language,license_spdx,description_present,open_prs,ci_latest,forbidden_link_scan,findings_critical,findings_high,findings_total
ACTIVE,.github,PUBLIC,False,main,2026-08-31T18:55:53Z,HTML,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,YARQA-ATTN,PUBLIC,False,main,2026-08-31T04:51:13Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,a11oy,PUBLIC,False,main,2026-08-31T20:47:53Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,a11oy-factory,PUBLIC,False,main,2026-08-31T18:47:21Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,a11oy-net,PUBLIC,False,main,2026-08-31T20:06:31Z,HTML,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,anatomy,PUBLIC,False,main,2026-08-31T04:52:58Z,JavaScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,ayllu,PUBLIC,False,main,2026-08-31T04:51:21Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,cosmos,PUBLIC,True,main,2026-08-29T16:15:45Z,JavaScript,UNKNOWN,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,5
ARCHIVED,counsel,PUBLIC,True,main,2026-08-29T16:57:45Z,Python,UNKNOWN,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,5
ARCHIVED,david-leads,PUBLIC,True,main,2026-08-28T18:48:14Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,developers,PUBLIC,True,main,2026-07-29T23:07:25Z,HTML,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,docs-site,PUBLIC,True,main,2026-08-28T15:41:19Z,JavaScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,energy-attest-holo,PUBLIC,True,main,2026-08-18T00:23:33Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,evidence-doctrine,PUBLIC,False,main,2026-08-30T22:30:51Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,evidence-studio,PUBLIC,False,main,2026-08-30T21:17:16Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,evidence-typed-formula-governance,PUBLIC,True,main,2026-07-21T03:28:34Z,UNKNOWN,UNKNOWN,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,5
ARCHIVED,fail-closed-governed-ai-services,PUBLIC,True,main,2026-07-21T03:28:38Z,UNKNOWN,UNKNOWN,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,5
ACTIVE,gdw-frontier,PRIVATE,False,main,2026-08-26T13:45:06Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,governance-as-code,PUBLIC,False,main,2026-08-31T19:54:59Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,governed-inference-meter,PUBLIC,True,main,2026-08-30T13:35:31Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,governed-norm-holo,PUBLIC,True,main,2026-08-29T01:32:19Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,governed-receipt-spec,PUBLIC,False,main,2026-08-31T20:06:35Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,hatun-mcp,PUBLIC,False,main,2026-08-31T12:22:35Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,holographic-unify,PUBLIC,True,main,2026-08-29T17:04:52Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,immune,PUBLIC,False,main,2026-08-31T19:55:03Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,immune-lattice,PUBLIC,True,main,2026-08-29T16:49:22Z,TypeScript,other,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,khipu-consensus,PUBLIC,False,main,2026-08-31T12:21:51Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,khipu-lab,PUBLIC,True,main,2026-08-29T17:20:40Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,khipu-pages,PUBLIC,True,main,2026-08-29T16:08:16Z,HTML,UNKNOWN,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,5
ACTIVE,khipu-sda-core,PUBLIC,False,main,2026-08-31T12:22:12Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,khipu-x1,PRIVATE,False,main,2026-08-31T18:59:17Z,Python,other,no,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,killinchu,PUBLIC,False,main,2026-08-31T19:56:20Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,lambda-gate-holo,PUBLIC,True,main,2026-08-29T00:08:48Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,lean-kernel,PUBLIC,True,main,2026-08-28T04:49:20Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,lutar-lean,PUBLIC,False,main,2026-08-31T20:05:44Z,Lean,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,lyte-lattice,PUBLIC,False,main,2026-08-31T05:14:42Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,lyte-services,PUBLIC,False,main,2026-08-30T21:17:29Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,nexus,PUBLIC,False,main,2026-08-31T05:14:39Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,ouroboros,PUBLIC,True,main,2026-08-28T04:40:58Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,pitch-collateral,PRIVATE,False,main,2026-08-31T04:51:11Z,UNKNOWN,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,platform,PUBLIC,False,main,2026-08-31T20:01:47Z,TypeScript,other,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,puriq-live,PUBLIC,False,main,2026-08-31T04:51:30Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,receipt-chain-live,PUBLIC,True,main,2026-08-26T16:17:28Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,sda,PUBLIC,False,main,2026-08-31T04:51:03Z,JavaScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-atelier,PUBLIC,False,main,2026-08-31T03:40:58Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-block-kv,PUBLIC,False,main,2026-08-31T19:55:16Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-blocked,PUBLIC,False,main,2026-08-30T21:17:11Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-brand,PUBLIC,False,main,2026-08-31T04:54:09Z,Python,cc-by-4.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-build-env,PUBLIC,True,main,2026-08-28T15:41:13Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-command-lab,PUBLIC,False,main,2026-08-31T20:04:48Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-cookbook,PUBLIC,True,main,2026-08-31T01:32:26Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-defensive-control-plane,PRIVATE,False,main,2026-08-31T04:57:56Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-doctrine,PUBLIC,False,main,2026-08-31T11:29:28Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-drift,PUBLIC,False,main,2026-08-30T22:31:29Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-energy-attest,PUBLIC,False,main,2026-08-31T12:19:44Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-estate-os,PRIVATE,False,main,2026-08-31T18:38:21Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-experiments,PUBLIC,True,main,2026-08-29T16:16:52Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,szl-fleet-overlay,PUBLIC,True,main,2026-08-26T14:25:23Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-forge,PUBLIC,False,main,2026-08-31T19:12:35Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-formula-ledger,PUBLIC,True,main,2026-07-22T03:31:12Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-formulas,PUBLIC,False,main,2026-08-30T21:17:05Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-frontier,PUBLIC,False,main,2026-08-31T05:25:17Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-gov,PUBLIC,False,main,2026-08-31T19:55:23Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-governed-norm,PUBLIC,True,main,2026-08-08T23:49:00Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-govsign,PUBLIC,False,main,2026-08-30T21:17:08Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-gpu-bridge,PUBLIC,False,main,2026-08-31T04:51:18Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-guardrail-receipt,PUBLIC,False,main,2026-07-09T15:35:14Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-holdings.github.io,PUBLIC,False,main,2026-08-31T19:12:52Z,HTML,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-invariants,PUBLIC,False,main,2026-08-31T19:55:13Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-kernels,PUBLIC,False,main,2026-08-31T19:54:55Z,TeX,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-kernels-live,PUBLIC,True,main,2026-08-18T00:24:31Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-khipu,PUBLIC,False,main,2026-08-31T19:12:28Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-lake,PUBLIC,False,main,2026-08-31T19:55:01Z,Python,cc-by-4.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-lambda-gate,PUBLIC,False,main,2026-08-31T12:20:32Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-maskmod,PUBLIC,False,main,2026-08-30T21:17:19Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-mesh,PUBLIC,True,main,2026-08-26T13:49:48Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
